date;price;market_cap;total_volume
2021-05-09;0,63362;82064020248;29418365423
2021-05-10;0,57314;74368118240;49053292485
2021-05-11;0,45113;58441555673;17200364811
2021-05-12;0,49673;64355971521;15290083251
2021-05-13;0,41519;53796102921;10742618800
2021-05-14;0,48894;63357827990;20865846833
2021-05-15;0,56485;73202813078;21034363818
2021-05-16;0,50679;65685563368;10494108535
2021-05-17;0,51532;66881415608;9989157880
2021-05-18;0,48515;62893452096;8093369123
2021-05-19;0,47898;62100584439;5522377790
2021-05-20;0,33874;43923278363;15977305882
2021-05-21;0,39780;51586844260;13713074556
2021-05-22;0,35233;45925318262;8361664796
2021-05-23;0,34309;44531404176;6521890070
2021-05-24;0,30923;40114225403;8460153799
2021-05-25;0,36307;47102789102;8184613093
2021-05-26;0,34490;44763375248;6514659543
2021-05-27;0,35416;45956150665;4005070154
2021-05-28;0,33381;43320992018;3057688715
2021-05-29;0,31146;40423846903;4023491238
2021-05-30;0,30270;39595872238;3392384686
2021-05-31;0,30143;39123526701;2927395692
2021-06-01;0,32653;42392462477;2987098923
2021-06-02;0,37324;48461329054;6733327602
2021-06-03;0,42739;55454564159;12390396038
2021-06-04;0,39801;51688479012;7531474357
2021-06-05;0,37771;49058017296;6625853842
2021-06-06;0,37291;48141414070;4141408440
2021-06-07;0,37250;48392042544;2150393720
2021-06-08;0,33308;43700362808;3149988271
2021-06-09;0,32744;42547609072;4351006876
2021-06-10;0,34450;44769090935;3815915048
2021-06-11;0,32943;42852644186;2902010287
2021-06-12;0,31706;41211526346;2552815813
2021-06-13;0,31307;40697435028;2255997607
2021-06-14;0,32504;42257825962;1933176774
2021-06-15;0,32800;42647566148;2303945199
2021-06-16;0,32160;41819458598;1827179805
2021-06-17;0,30726;39959183235;1849556139
2021-06-18;0,30765;39833096687;1374063218
2021-06-19;0,29324;38143539822;2225163523
2021-06-20;0,28783;37500205367;1435144271
2021-06-21;0,28255;36753345057;2397238936
2021-06-22;0,17716;23329004524;6017998979
2021-06-23;0,18946;24507032193;6153862252
2021-06-24;0,23676;30785375820;6409757149
2021-06-25;0,26401;34365766689;4350232583
2021-06-26;0,24341;31689044735;6643561020
2021-06-27;0,24179;31477659181;3495938718
2021-06-28;0,26188;34096779100;2743197485
2021-06-29;0,25757;33435820028;2479287619
2021-06-30;0,26348;34483021648;2762721209
2021-07-01;0,25363;33047008786;2571421534
2021-07-02;0,24576;32039826598;3268541857
2021-07-03;0,24555;31898689669;1889927472
2021-07-04;0,24719;32206556134;1227580789
2021-07-05;0,24680;32158422617;992614864
2021-07-06;0,23282;30340231062;1334518761
2021-07-07;0,23396;30498108426;1337006930
2021-07-08;0,22502;29283224579;1148728840
2021-07-09;0,20608;26873301204;2153838621
2021-07-10;0,21897;28480856790;3259713674
2021-07-11;0,21177;27673709686;1746924474
2021-07-12;0,21401;27911022096;913246174
2021-07-13;0,20776;27090085304;1253672403
2021-07-14;0,19775;25809414653;1334275683
2021-07-15;0,19714;25714758614;1429641639
2021-07-16;0,18276;24197694492;1161312534
2021-07-17;0,17483;22412454428;1410700420
2021-07-18;0,18368;23966076761;2708790554
2021-07-19;0,18429;24010766980;1524012212
2021-07-20;0,17289;22684031984;1157741992
2021-07-21;0,17297;22548330103;1798516247
2021-07-22;0,19159;24902296662;3663618236
2021-07-23;0,19165;24989319857;1590344694
2021-07-24;0,19361;25277663412;1382745729
2021-07-25;0,19825;25869416922;1550001044
2021-07-26;0,20233;26058519149;1651934670
2021-07-27;0,20603;26908901181;4968959293
2021-07-28;0,20454;26714978976;1943998807
2021-07-29;0,20843;27225714557;2209278393
2021-07-30;0,20861;27252959174;1730901237
2021-07-31;0,20623;26938467544;1588419179
