snapped_at;price;market_cap;total_volume
2021-04-02 00:00:00 UTC;58801;1098583823874;54320681401
2021-04-03 00:00:00 UTC;59060;1103133931137;52224918752
2021-04-04 00:00:00 UTC;57060;1067101827373;52067853988
2021-04-05 00:00:00 UTC;58229;1087344280110;46156767978
2021-04-06 00:00:00 UTC;58707;1096202611390;54670173277
2021-04-07 00:00:00 UTC;58062;1084341670321;61497704158
2021-04-08 00:00:00 UTC;56134;1050759681845;67617613532
2021-04-09 00:00:00 UTC;58066;1083362883828;48714359354
2021-04-10 00:00:00 UTC;58153;1085794662405;45880879042
2021-04-11 00:00:00 UTC;59979;1116221525334;61788197399
2021-04-12 00:00:00 UTC;59988;1120606689450;46792500387
2021-04-13 00:00:00 UTC;59911;1118532902102;55994558889
2021-04-14 00:00:00 UTC;63577;1187737045885;71993120011
2021-04-15 00:00:00 UTC;62807;1173412921930;80157135508
2021-04-16 00:00:00 UTC;63180;1179561609817;60495376851
2021-04-17 00:00:00 UTC;61497;1149602869702;86260673270
2021-04-18 00:00:00 UTC;60274;1125592412523;63808212133
2021-04-19 00:00:00 UTC;56289;1053618163310;102065957642
2021-04-20 00:00:00 UTC;55721;1043148020633;66156275210
2021-04-21 00:00:00 UTC;56295;1055145534127;68166802216
2021-04-22 00:00:00 UTC;54190;1012699264346;56115370322
2021-04-23 00:00:00 UTC;51966;971174701493;77897442832
2021-04-24 00:00:00 UTC;51191;956744203682;91138220375
2021-04-25 00:00:00 UTC;50133;937014999515;49296256746
2021-04-26 00:00:00 UTC;48981;915533819859;46233432154
2021-04-27 00:00:00 UTC;53979;1008389773190;60226926860
2021-04-28 00:00:00 UTC;54992;1027617870422;48468560013
2021-04-29 00:00:00 UTC;54811;1024625833392;48072930663
2021-04-30 00:00:00 UTC;53597;1001973605935;46958036373
2021-05-01 00:00:00 UTC;57829;1082721727348;53879045974
2021-05-02 00:00:00 UTC;57813;1080897634123;43967070046
2021-05-03 00:00:00 UTC;56601;1057850321949;39072664394
2021-05-04 00:00:00 UTC;57200;1069571255196;54132470274
2021-05-05 00:00:00 UTC;53464;999775008412;71296763919
2021-05-06 00:00:00 UTC;57432;1070969079354;72158368258
2021-05-07 00:00:00 UTC;56508;1056801053575;87510802711
2021-05-08 00:00:00 UTC;57362;1072831991777;68154805947
2021-05-09 00:00:00 UTC;58772;1099271802312;66812167538
2021-05-10 00:00:00 UTC;58214;1088903483393;67906284081
2021-05-11 00:00:00 UTC;55902;1045714370754;76672978748
2021-05-12 00:00:00 UTC;56929;1064993057464;67726708141
2021-05-13 00:00:00 UTC;50005;935512493151;75523928654
2021-05-14 00:00:00 UTC;49973;934964766186;104203551168
2021-05-15 00:00:00 UTC;49913;935962705739;56820196965
2021-05-16 00:00:00 UTC;46781;875321252276;62896879696
2021-05-17 00:00:00 UTC;46585;871695620616;70636455914
2021-05-18 00:00:00 UTC;43781;819256623329;84054878924
2021-05-19 00:00:00 UTC;43091;800545278568;65037066859
2021-05-20 00:00:00 UTC;37287;697785056488;141151477375
2021-05-21 00:00:00 UTC;40438;759679496751;95001812131
2021-05-22 00:00:00 UTC;37340;698762712554;88706010988
2021-05-23 00:00:00 UTC;37520;702143968884;61178935274
2021-05-24 00:00:00 UTC;34978;654558962028;84358034876
2021-05-25 00:00:00 UTC;38642;723143072420;71163197727
2021-05-26 00:00:00 UTC;38211;715248689990;48724794158
2021-05-27 00:00:00 UTC;39407;737668726732;47026386118
2021-05-28 00:00:00 UTC;38643;723137484747;40836817156
2021-05-29 00:00:00 UTC;35710;668521654365;49991590068
2021-05-30 00:00:00 UTC;34775;654239808357;43184025045
2021-05-31 00:00:00 UTC;35715;668664301774;30650274658
2021-06-01 00:00:00 UTC;37341;699138611681;37950798680
2021-06-02 00:00:00 UTC;36680;688726381047;33536905028
2021-06-03 00:00:00 UTC;37686;704531333543;31240691604
2021-06-04 00:00:00 UTC;39151;733150718114;33396718845
2021-06-05 00:00:00 UTC;36939;691747462828;39345490149
2021-06-06 00:00:00 UTC;35547;662913486273;34068172836
2021-06-07 00:00:00 UTC;35834;671131079524;27689283071
2021-06-08 00:00:00 UTC;33451;626527049948;33345528753
2021-06-09 00:00:00 UTC;33557;629018966290;46727462986
2021-06-10 00:00:00 UTC;37554;705292677171;54511387836
2021-06-11 00:00:00 UTC;36903;691681868464;42952476855
2021-06-12 00:00:00 UTC;37289;698528023664;36358044263
2021-06-13 00:00:00 UTC;35666;668148892256;35710196743
2021-06-14 00:00:00 UTC;39148;733402631079;38185633278
2021-06-15 00:00:00 UTC;40625;761104314502;45836408439
2021-06-16 00:00:00 UTC;40378;756522207420;36706248352
2021-06-17 00:00:00 UTC;38321;718016373177;36563438890
2021-06-18 00:00:00 UTC;38194;715652442155;36330237284
2021-06-19 00:00:00 UTC;35881;673761687974;35162612173
2021-06-20 00:00:00 UTC;35582;666901325910;28858979692
2021-06-21 00:00:00 UTC;35787;670634370557;35609127164
2021-06-22 00:00:00 UTC;31712;598335733136;51873870277
2021-06-23 00:00:00 UTC;32508;606580031923;57443014758
2021-06-24 00:00:00 UTC;33703;631634847766;39798236962
2021-06-25 00:00:00 UTC;34675;650340461976;31862051544
2021-06-26 00:00:00 UTC;31943;598703019611;38635245431
2021-06-27 00:00:00 UTC;32024;600235334321;36873109420
2021-06-28 00:00:00 UTC;34607;649262127990;34335452117
2021-06-29 00:00:00 UTC;34557;647741224117;32453802891
2021-06-30 00:00:00 UTC;35969;674231340724;35121257876
2021-07-01 00:00:00 UTC;35171;660200427590;31024153847
2021-07-02 00:00:00 UTC;33678;629863895572;29129630236
2021-07-03 00:00:00 UTC;33951;633684390026;25084046353
2021-07-04 00:00:00 UTC;34730;650382046625;22986053605
2021-07-05 00:00:00 UTC;35394;663571591568;22727930418
2021-07-06 00:00:00 UTC;33928;636061920915;25894820185
2021-07-07 00:00:00 UTC;34150;640405812762;26106856612
2021-07-08 00:00:00 UTC;33932;636246944189;23692220470
2021-07-09 00:00:00 UTC;32934;617861633772;29065577052
2021-07-10 00:00:00 UTC;33971;637000370375;24282108111
2021-07-11 00:00:00 UTC;33705;632185737683;20558304484
2021-07-12 00:00:00 UTC;34300;643335853171;17798828844
2021-07-13 00:00:00 UTC;33263;623350567667;21683885321
2021-07-14 00:00:00 UTC;32676;613002045101;19932531700
2021-07-15 00:00:00 UTC;32879;616691143980;21779069066
2021-07-16 00:00:00 UTC;31726;595342431374;21557729227
2021-07-17 00:00:00 UTC;31400;588495008676;22671859963
2021-07-18 00:00:00 UTC;31589;592581931071;17715455995
2021-07-19 00:00:00 UTC;31919;597872278369;17742105808
2021-07-20 00:00:00 UTC;30928;580252472383;20095540828
2021-07-21 00:00:00 UTC;29972;561743228117;23000299062
2021-07-22 00:00:00 UTC;32384;605357009417;29070652060
2021-07-23 00:00:00 UTC;32409;607621607805;19741588059
2021-07-24 00:00:00 UTC;33456;627747173675;22937379735
2021-07-25 00:00:00 UTC;34214;642012590041;22120323672
2021-07-26 00:00:00 UTC;35456;664681184169;20929083221
2021-07-27 00:00:00 UTC;37282;701921012035;53550491998
2021-07-28 00:00:00 UTC;39077;732311951673;36401287454
2021-07-29 00:00:00 UTC;40031;751371299911;41369107423
2021-07-30 00:00:00 UTC;39978;750407963580;28717414113
2021-07-31 00:00:00 UTC;41936;786531956384;35530501783
2021-08-01 00:00:00 UTC;41754;784039345926;28437941447
2021-08-02 00:00:00 UTC;39915;747403845432;28555173662
2021-08-03 00:00:00 UTC;39279;737440183776;28057528866
2021-08-04 00:00:00 UTC;38368;720835141114;28422901237
2021-08-05 00:00:00 UTC;39752;747085951935;27751046040
2021-08-06 00:00:00 UTC;40825;768416417394;38527930905
2021-08-07 00:00:00 UTC;42802;803853127161;40840608017
2021-08-08 00:00:00 UTC;44648;838457486988;42725276705
2021-08-09 00:00:00 UTC;43753;821704814136;39633218479
2021-08-10 00:00:00 UTC;46311;861862844506;42726733998
2021-08-11 00:00:00 UTC;45640;854344953099;35669862362
2021-08-12 00:00:00 UTC;45652;857660568377;35679832771
2021-08-13 00:00:00 UTC;44495;836054770492;35838614930
2021-08-14 00:00:00 UTC;47717;895084141169;34320865037
2021-08-15 00:00:00 UTC;47089;886593539913;33294851811
2021-08-16 00:00:00 UTC;47025;882888202378;32863850458
2021-08-17 00:00:00 UTC;46032;866391335029;34221605780
2021-08-18 00:00:00 UTC;44534;836777066606;34488116651
2021-08-19 00:00:00 UTC;45015;847143004615;34668999388
2021-08-20 00:00:00 UTC;46745;867650725473;38434805723
2021-08-21 00:00:00 UTC;49196;923013359587;36497089237
2021-08-22 00:00:00 UTC;48934;920750216465;42147725293
2021-08-23 00:00:00 UTC;49251;925630106451;27110183703
2021-08-24 00:00:00 UTC;49519;930729196214;35800255386
2021-08-25 00:00:00 UTC;47941;902489541308;38387146175
2021-08-26 00:00:00 UTC;49003;921328247354;33517327124
2021-08-27 00:00:00 UTC;47229;887832142450;33774857003
2021-08-28 00:00:00 UTC;49083;922969799299;34607868773
2021-08-29 00:00:00 UTC;48937;920017911099;28491785397
2021-08-30 00:00:00 UTC;48907;919515378469;26244843558
2021-08-31 00:00:00 UTC;47124;885729258053;32326073272
2021-09-01 00:00:00 UTC;47335;890014982635;34868965959
2021-09-02 00:00:00 UTC;48823;918058330851;39060601275
2021-09-03 00:00:00 UTC;49339;927323146557;39362789535
2021-09-04 00:00:00 UTC;49935;937295558515;42934455726
2021-09-05 00:00:00 UTC;50013;940538655660;36985805207
